"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"64",16.2912147587567,1.10626697467564,0.380258628864338,2.909248839348,0.00362298363194298,0.028244978311791
"92",189.285856152113,2.35554328959942,0.811791654335695,2.90165989884068,0.00371191289257703,0.0287810499198668
"95",140.745658727707,3.66108018911568,0.906499594565806,4.03870030506661,5.37481844770436e-05,0.00163008661493069
"115",1586.64532404418,1.06779049832798,0.340790580741228,3.13327468149357,0.00172867584676311,0.0168909186579121
"141",26.2360860161291,2.74414693178998,1.0224991082448,2.68376462107682,0.00727983389762437,0.045641381012738
"203",1034.77290673368,1.53421068960904,0.453859158293166,3.38036737074727,0.000723890024496847,0.00937262447040071
"221",4930.30345686916,2.06045068787951,0.496832636738135,4.14717257989939,3.36606338536129e-05,0.00121916730658354
"241",804.221138368312,2.65235105841163,0.520203323143666,5.09868149704057,3.4202749011089e-07,6.32086486760327e-05
"292",167.411656261724,1.62259422117432,0.379480364356634,4.2758318310494,1.90424931294348e-05,0.000846303743095019
"294",748.309597173074,1.23989471351137,0.278649067063358,4.44966396829689,8.6004747452092e-06,0.000498544396271338
"315",5.22230422443637,2.8064833440784,0.860498050871606,3.2614639175948,0.00110838537880588,0.0125351913941203
"350",806.035044466931,1.3937607011885,0.519161347766569,2.68463880676875,0.00726082262233054,0.0455673951583334
"367",711.355729129177,1.04317429689942,0.335423187425456,3.11002439904741,0.00187071890411025,0.0177837699466017
"388",195.101096584201,3.04725970372688,0.945196417695466,3.22394334836411,0.00126438410334913,0.0136588630781763
"481",1228.57937927405,11.0184615480994,1.69230065419925,6.51093617482115,7.46838743585041e-11,9.59239682260627e-08
"482",262.303017850786,9.59424262894538,1.94871033456531,4.92338058600459,8.50617913618664e-07,0.000116319698148146
"510",1856.24672610967,1.06262307838085,0.271966200409097,3.90718801374005,9.33764939079773e-05,0.00231816380745588
"518",971.845700961856,1.11241243619817,0.395654306346721,2.81157671824591,0.00492993324451682,0.0347721581063243
"519",5282.66372300954,1.40280051109231,0.379911054714627,3.69244457007453,0.000222108760637374,0.00414044255678727
"620",699.323706633856,6.88144243164672,1.71166778092569,4.02031428547727,5.81205517772197e-05,0.00170823882614785
"625",66.0078948661819,2.09634901122852,0.791283854712681,2.64930087824137,0.00806584874035047,0.0488208111315087
"654",91.662464145717,1.98326819683958,0.539666534744668,3.67498829212732,0.00023786032197691,0.00433745612232282
"655",43.1453825109057,2.87484719121426,0.714491740174898,4.02362550826764,5.73090206393205e-05,0.00169018842960145
"698",22.2031218370532,1.22911631633276,0.309998525293921,3.96491020454821,7.34235815581931e-05,0.00198221165638574
"752",63.0651118776206,4.3732007413438,1.21939003915272,3.58638384842186,0.000335295307593995,0.00554251342437229
"787",316.098568383962,1.1770614243068,0.351525150774889,3.34844156019032,0.000812674179491638,0.0101094306647851
"819",33.9688788969452,3.84874188381222,1.09247949000872,3.52294200395606,0.000426784740264931,0.00658848942783987
"837",219.496699127597,3.04489346103143,0.913633208842729,3.33273071902487,0.000859981333211172,0.0104856334132819
"843",782.617299397814,1.06162861464353,0.273512986109868,3.88145597670848,0.000103832949979739,0.0024855037098038
"849",192.189746792034,2.07733879440214,0.757493295663313,2.74238571654034,0.00609946706459613,0.0404970560753025
"856",282.766974705068,1.95342626749212,0.460352553104546,4.24332667282612,2.20230484005329e-05,0.000927423061168672
"903",34.4914216221119,1.75984679635562,0.56634842680857,3.10735708452927,0.00188768232983493,0.017911934766089
"910",74.5795494229982,5.04188484923986,0.986824688206327,5.1092001542889,3.23525482032891e-07,6.15609080182289e-05
"987",674.119879493223,1.73730613791344,0.62278853683141,2.78956023621182,0.00527796773602505,0.0366631788001653
"1040",502.651587054854,2.11905503468016,0.510994275453151,4.14692519363544,3.36970097973494e-05,0.00121916730658354
"1041",185.168034456247,2.41256887836765,0.486560026240699,4.95841982130722,7.10688575418969e-07,0.000103728227985014
"1042",406.504718233319,2.29376548827033,0.489408377151188,4.68681288543155,2.77492453213485e-06,0.000236033978084371
"1048",237.231578342074,1.19687300492184,0.446511761556311,2.68049603161663,0.00735131361053238,0.0459144408424774
"1112",75.0287719682833,2.50267544016217,0.88110447035352,2.84038445424983,0.00450591931770185,0.0328084057350128
"1152",182.221894400032,2.30216422899008,0.722781916220753,3.18514364751615,0.00144682171210817,0.0149021476105191
"1171",1608.08121692607,2.42587945071108,0.822656238407769,2.94883736055574,0.00318971789668338,0.0258536183080043
"1213",1247.15587685937,1.35379979392792,0.494160321537242,2.73959631100388,0.00615146888224872,0.0407160352092773
"1217",13.8413574707827,2.8771980371301,1.01238941804712,2.84198746632512,0.00448332541089464,0.0327244509254203
"1249",7710.70408232628,2.54841937211241,0.557691922005437,4.56958272400361,4.88696243693453e-06,0.000337195737306531
"1322",961.02950782755,1.89923464270309,0.451160746137998,4.20966287284702,2.55752019709542e-05,0.00102574753686137
"1341",984.792733308272,2.13634484972517,0.59633865826362,3.58243561795179,0.000340405528075989,0.0056024752612177
"1345",681.812284434305,4.43493686496327,1.05924040381361,4.18690303824898,2.82786558987608e-05,0.00108745825258588
"1367",9.39214219728314,1.41301481652992,0.51184185014137,2.76064729005579,0.00576869393325282,0.0389758573796419
"1373",210.292914744623,2.80324612840176,0.883714949191405,3.17211577213525,0.00151332665080779,0.0153532128775476
"1418",89.5821950925625,3.07164902929238,0.74761056854768,4.10862173238055,3.98027387390073e-05,0.00136050726096252
"1427",1592.94883260436,1.2997844615664,0.459363005728178,2.82953665262182,0.00466154601972898,0.0334781377608109
"1429",792.558438679879,1.11645325416369,0.356531886991702,3.13142609370499,0.0017395956472062,0.0169365628433581
"1434",1168.27957288179,2.1130174830176,0.724962110418998,2.91465919756325,0.0035607714861807,0.0278959718506705
"1445",1527.79643105167,1.02394716745083,0.341317442720901,2.99998488002303,0.00269993008519158,0.0230724564299405
"1486",6624.96495869711,2.84944485399712,0.753698983393193,3.78061390128027,0.000156442126874064,0.00325571505573529
"1529",1463.26200832475,1.8389678228207,0.51918393807128,3.54203527492067,0.000397052373418568,0.0062611917546815
"1530",425.281810590962,2.43288987457519,0.531827797068467,4.57458201317367,4.77171665564533e-06,0.00033347953937817
"1539",28.2736701160225,2.0624752010921,0.597197204828129,3.45359151787335,0.000553174572736116,0.00787691154348411
"1542",287.134412738418,1.2132477686992,0.421026935691787,2.88163931057219,0.00395612308691788,0.0300564116694044
"1570",1431.08729988693,1.639478608014,0.583082191999692,2.81174529167384,0.00492735047757822,0.0347721581063243
"1603",868.89639973162,1.30524743641647,0.380394857619473,3.4312962183158,0.000600704265303807,0.00828281866190241
"1636",433.369418061073,1.26663248558734,0.431699845639307,2.93405823138893,0.00334561434467224,0.0266652625770836
"1637",17.3036587280255,1.69180154792308,0.569796288468455,2.96913402589975,0.00298640310409069,0.0247466848186715
