"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"19",1131.31152217271,-1.35235592747666,0.470012297427208,-2.87727775396368,0.00401122354336219,0.030350606887154
"35",485.084153369329,-1.21582591224083,0.429042136371682,-2.83381469830168,0.00459959946447328,0.0332081256445727
"73",666.71619530624,-1.27880523166457,0.402611808975892,-3.1762735298734,0.00149180217826117,0.0151973601785658
"76",1011.88823676604,-1.47310877058591,0.42842025265424,-3.43846669586557,0.00058501849417353,0.0081205940585128
"127",103.388366791008,-1.57360424792543,0.33225069627723,-4.73619548599053,2.17767543892071e-06,0.000210301228101486
"159",23.8340345872411,-2.5690023086393,0.670970328934945,-3.82878675532072,0.000128776525605747,0.00286656099632619
"185",16324.5970508844,-1.93341571661772,0.516915144594056,-3.74029613339356,0.000183803575253874,0.00360277420151113
"186",166.105977501194,-2.05238070834994,0.482288832663536,-4.25550120456917,2.08581241502862e-05,0.00089449664970376
"195",169.827273261102,-1.94148371046612,0.639429497761659,-3.03627486261166,0.00239520908278699,0.0212092833225206
"209",4.03870332899236,-1.75468585354739,0.648014486598043,-2.70778800449226,0.00677332731287979,0.043651086807139
"220",3608.72106571451,-1.36861578012821,0.381701681025696,-3.58556393162985,0.000336350589004871,0.00555638194878272
"249",57.8781148834796,-2.4327301380794,0.559856982507823,-4.34527069249405,1.39104017543025e-05,0.000676869945381731
"257",298.235684168367,-2.54673214889896,0.691977471993184,-3.68036858420161,0.000232897064135515,0.00427941006988356
"262",107.565371531956,-1.09796644036186,0.307337967147221,-3.57250505218549,0.000353582659478434,0.00575956332066076
"263",112.843952975326,-1.23911673973501,0.329512295775538,-3.76045675873378,0.00016960339161262,0.00344136802823457
"281",6.08642667538104,-2.71690933069952,0.808050861036598,-3.36229990178361,0.000772961243571066,0.00976196087750911
"289",337.359071586696,-1.01131162147995,0.338431594017131,-2.98823052976774,0.0028059781793275,0.0236250303082808
"383",77.5029440937602,-2.85616125757567,0.633756854321106,-4.50671458320598,6.58390995704484e-06,0.000420325612783
"384",125.310466319358,-1.38499617706251,0.37250676410734,-3.71804302770572,0.000200772079158168,0.00385170513025767
"387",125.694677501656,-5.14967592527619,1.15742523854082,-4.44925145382907,8.6170084064339e-06,0.000498544396271338
"424",93.6639194494031,-1.93001892539182,0.570781389904298,-3.38136274154878,0.000721272575582598,0.00934815838625922
"431",763.204830113303,-1.09688485393368,0.373797685083582,-2.93443458240898,0.0033415598341284,0.0266494843275661
"471",1093.07008276149,-1.69776429881678,0.494573579653501,-3.43278405612818,0.000597417712938009,0.0082507882849202
"485",14.9465966675528,-3.5817441578576,0.709702558871982,-5.04682435350171,4.49213972579495e-07,7.55089326044382e-05
"486",665.183276762708,-1.92442109167226,0.614391546274997,-3.13223888469797,0.00173478661665642,0.016924876038234
"487",133.689243099745,-4.72158527546299,0.733250757685134,-6.43925045555902,1.20064938686506e-10,1.40192188408135e-07
"488",55.7003940600116,-1.87396760128701,0.647912552431365,-2.89231562848217,0.00382413557455756,0.029376314186374
"489",4.14359218193419,-4.32264615547169,1.17061039111499,-3.69264290517225,0.000221935554516947,0.00414021824577439
"559",30965.055434268,-2.7954997653301,0.642609855564319,-4.3502285891261,1.35995687959562e-05,0.0006648146527435
"567",4.30742259571914,-2.63565119638397,0.891470241389327,-2.95652179289394,0.00311130243813409,0.0254613370598243
"627",259.234440622221,-1.56611844330152,0.514027099880562,-3.0467624054557,0.00231320474918503,0.0206802385710402
"685",1743.62430662559,-1.8340686918179,0.400290693525933,-4.58184195006542,4.60898188506883e-06,0.00032796544782174
"687",313.097948980682,-1.01145311226433,0.373388076953026,-2.70885219613367,0.00675164101057166,0.0435550362329394
"709",486.526787552349,-1.01234620780191,0.306834289669963,-3.29932553786868,0.000969174487410661,0.0114359918385875
"763",3002.94470977469,-1.1013684159606,0.349380103200157,-3.15235013634887,0.00161961935561229,0.0161571968959101
"812",698.411074023158,-2.40060805631125,0.663210664559935,-3.61967649887557,0.000294971556861207,0.00504475988858234
"816",495.376721916533,-1.27290362028513,0.389942637593115,-3.26433556520522,0.00109721130981804,0.0124657957216301
